"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"868","age_group65 to 84 Years",0.074,0.013,0,1.077,"minocycline","Staphylococcus aureus"
"869","age_group85 and Over",0.061,0.023,0.009,1.063,"minocycline","Staphylococcus aureus"
"870","genderm",0.042,0.012,0,1.042,"minocycline","Staphylococcus aureus"
"871","key_sourceblood",0.158,0.021,0,1.172,"minocycline","Staphylococcus aureus"
"872","key_sourcegastro",0.332,0.028,0,1.393,"minocycline","Staphylococcus aureus"
"873","key_sourcerespiratory",-0.003,0.019,0.877,0.997,"minocycline","Staphylococcus aureus"
"874","key_sourceurine",-0.261,0.036,0,0.77,"minocycline","Staphylococcus aureus"
"875","key_sourcewound",-0.377,0.017,0,0.686,"minocycline","Staphylococcus aureus"
"876","year_scaled",-0.258,0.002,0,0.772,"minocycline","Staphylococcus aureus"
"877","age_group0 to 2 Years",-0.608,0.035,0,0.545,"moxifloxacin","Staphylococcus aureus"
"878","age_group3 to 12 Years",-0.678,0.036,0,0.508,"moxifloxacin","Staphylococcus aureus"
"879","age_group13 to 18 Years",-0.511,0.042,0,0.6,"moxifloxacin","Staphylococcus aureus"
"880","age_group65 to 84 Years",0.579,0.017,0,1.784,"moxifloxacin","Staphylococcus aureus"
"881","age_group85 and Over",0.968,0.03,0,2.632,"moxifloxacin","Staphylococcus aureus"
"882","genderm",0.117,0.015,0,1.124,"moxifloxacin","Staphylococcus aureus"
"883","key_sourceblood",0.13,0.039,0.001,1.139,"moxifloxacin","Staphylococcus aureus"
"884","key_sourcegastro",0.146,0.053,0.006,1.157,"moxifloxacin","Staphylococcus aureus"
"885","key_sourcerespiratory",0.435,0.027,0,1.546,"moxifloxacin","Staphylococcus aureus"
"886","key_sourceurine",0.578,0.044,0,1.782,"moxifloxacin","Staphylococcus aureus"
"887","key_sourcewound",-0.027,0.025,0.294,0.974,"moxifloxacin","Staphylococcus aureus"
"888","year_scaled",0.006,0.005,0.165,1.006,"moxifloxacin","Staphylococcus aureus"
"889","age_group0 to 2 Years",-0.047,0.054,0.375,0.954,"omadacycline","Staphylococcus aureus"
"890","age_group3 to 12 Years",-0.078,0.057,0.167,0.925,"omadacycline","Staphylococcus aureus"
"891","age_group13 to 18 Years",0.049,0.073,0.504,1.05,"omadacycline","Staphylococcus aureus"
"892","age_group65 to 84 Years",0.251,0.038,0,1.285,"omadacycline","Staphylococcus aureus"
"893","age_group85 and Over",0.286,0.076,0,1.331,"omadacycline","Staphylococcus aureus"
"894","genderm",0.001,0.03,0.978,1.001,"omadacycline","Staphylococcus aureus"
"895","key_sourceblood",0.116,0.052,0.027,1.123,"omadacycline","Staphylococcus aureus"
"896","key_sourcegastro",0.761,0.403,0.059,2.141,"omadacycline","Staphylococcus aureus"
"897","key_sourcerespiratory",0.243,0.048,0,1.275,"omadacycline","Staphylococcus aureus"
"898","key_sourceurine",-0.004,0.19,0.985,0.996,"omadacycline","Staphylococcus aureus"
"899","key_sourcewound",0.049,0.043,0.254,1.05,"omadacycline","Staphylococcus aureus"
"900","year_scaled",-0.002,0.007,0.796,0.998,"omadacycline","Staphylococcus aureus"
"901","age_group0 to 2 Years",-0.061,0.027,0.026,0.941,"oxacillin","Staphylococcus aureus"
"902","age_group3 to 12 Years",-0.163,0.028,0,0.849,"oxacillin","Staphylococcus aureus"
"903","age_group13 to 18 Years",-0.158,0.034,0,0.854,"oxacillin","Staphylococcus aureus"
"904","age_group65 to 84 Years",0.137,0.014,0,1.147,"oxacillin","Staphylococcus aureus"
"905","age_group85 and Over",0.344,0.024,0,1.411,"oxacillin","Staphylococcus aureus"
"906","genderm",0.05,0.012,0,1.051,"oxacillin","Staphylococcus aureus"
"907","key_sourceblood",-0.14,0.026,0,0.869,"oxacillin","Staphylococcus aureus"
"908","key_sourcegastro",-0.038,0.043,0.377,0.963,"oxacillin","Staphylococcus aureus"
"909","key_sourcerespiratory",0.075,0.023,0.001,1.078,"oxacillin","Staphylococcus aureus"
"910","key_sourceurine",0.181,0.037,0,1.199,"oxacillin","Staphylococcus aureus"
"911","key_sourcewound",0.006,0.021,0.766,1.006,"oxacillin","Staphylococcus aureus"
"912","year_scaled",-0.118,0.002,0,0.889,"oxacillin","Staphylococcus aureus"
"913","age_group0 to 2 Years",-0.016,0.041,0.698,0.984,"penicillin","Staphylococcus aureus"
"914","age_group3 to 12 Years",-0.018,0.041,0.662,0.982,"penicillin","Staphylococcus aureus"
"915","age_group13 to 18 Years",-0.052,0.05,0.297,0.95,"penicillin","Staphylococcus aureus"
"916","age_group65 to 84 Years",0.039,0.021,0.064,1.039,"penicillin","Staphylococcus aureus"
"917","age_group85 and Over",0.14,0.038,0,1.15,"penicillin","Staphylococcus aureus"
"918","genderm",0.041,0.018,0.024,1.041,"penicillin","Staphylococcus aureus"
"919","key_sourceblood",-0.035,0.028,0.204,0.966,"penicillin","Staphylococcus aureus"
"920","key_sourcegastro",0.219,0.037,0,1.245,"penicillin","Staphylococcus aureus"
"921","key_sourcerespiratory",0.072,0.028,0.011,1.075,"penicillin","Staphylococcus aureus"
"922","key_sourceurine",-0.045,0.059,0.444,0.956,"penicillin","Staphylococcus aureus"
"923","key_sourcewound",0.048,0.026,0.065,1.049,"penicillin","Staphylococcus aureus"
"924","year_scaled",-0.05,0.002,0,0.951,"penicillin","Staphylococcus aureus"
"925","age_group0 to 2 Years",-0.254,0.024,0,0.776,"piperacillin tazobactam","Staphylococcus aureus"
"926","age_group3 to 12 Years",-0.283,0.025,0,0.754,"piperacillin tazobactam","Staphylococcus aureus"
"927","age_group13 to 18 Years",-0.254,0.03,0,0.775,"piperacillin tazobactam","Staphylococcus aureus"
"928","age_group65 to 84 Years",0.22,0.013,0,1.246,"piperacillin tazobactam","Staphylococcus aureus"
"929","age_group85 and Over",0.4,0.022,0,1.492,"piperacillin tazobactam","Staphylococcus aureus"
"930","genderm",0.085,0.011,0,1.089,"piperacillin tazobactam","Staphylococcus aureus"
"931","key_sourceblood",-0.122,0.02,0,0.885,"piperacillin tazobactam","Staphylococcus aureus"
"932","key_sourcegastro",0.087,0.027,0.002,1.091,"piperacillin tazobactam","Staphylococcus aureus"
"933","key_sourcerespiratory",0.434,0.018,0,1.544,"piperacillin tazobactam","Staphylococcus aureus"
"934","key_sourceurine",0.405,0.033,0,1.5,"piperacillin tazobactam","Staphylococcus aureus"
"935","key_sourcewound",0.354,0.016,0,1.424,"piperacillin tazobactam","Staphylococcus aureus"
"936","year_scaled",0.04,0.002,0,1.041,"piperacillin tazobactam","Staphylococcus aureus"
"937","age_group0 to 2 Years",-0.105,0.03,0,0.901,"teicoplanin","Staphylococcus aureus"
"938","age_group3 to 12 Years",-0.084,0.03,0.006,0.919,"teicoplanin","Staphylococcus aureus"
"939","age_group13 to 18 Years",-0.074,0.037,0.048,0.929,"teicoplanin","Staphylococcus aureus"
"940","age_group65 to 84 Years",-0.034,0.015,0.02,0.966,"teicoplanin","Staphylococcus aureus"
"941","age_group85 and Over",-0.073,0.026,0.005,0.93,"teicoplanin","Staphylococcus aureus"
"942","genderm",0.008,0.013,0.515,1.008,"teicoplanin","Staphylococcus aureus"
"943","key_sourceblood",0.055,0.029,0.056,1.056,"teicoplanin","Staphylococcus aureus"
"944","key_sourcegastro",0.167,0.047,0,1.182,"teicoplanin","Staphylococcus aureus"
"945","key_sourcerespiratory",0.218,0.025,0,1.244,"teicoplanin","Staphylococcus aureus"
"946","key_sourceurine",-0.133,0.041,0.001,0.876,"teicoplanin","Staphylococcus aureus"
"947","key_sourcewound",-0.011,0.023,0.631,0.989,"teicoplanin","Staphylococcus aureus"
"948","year_scaled",-0.155,0.002,0,0.857,"teicoplanin","Staphylococcus aureus"
"949","age_group0 to 2 Years",-0.137,0.087,0.115,0.872,"tetracycline","Staphylococcus aureus"
"950","age_group3 to 12 Years",-0.283,0.094,0.002,0.753,"tetracycline","Staphylococcus aureus"
"951","age_group13 to 18 Years",-0.253,0.121,0.036,0.776,"tetracycline","Staphylococcus aureus"
"952","age_group65 to 84 Years",0.043,0.058,0.454,1.044,"tetracycline","Staphylococcus aureus"
"953","age_group85 and Over",-0.46,0.128,0,0.631,"tetracycline","Staphylococcus aureus"
"954","genderm",-0.063,0.048,0.186,0.939,"tetracycline","Staphylococcus aureus"
"955","key_sourceblood",0.195,0.084,0.02,1.216,"tetracycline","Staphylococcus aureus"
"956","key_sourcegastro",-0.083,0.655,0.899,0.92,"tetracycline","Staphylococcus aureus"
"957","key_sourcerespiratory",0.149,0.073,0.04,1.161,"tetracycline","Staphylococcus aureus"
"958","key_sourceurine",-0.456,0.325,0.162,0.634,"tetracycline","Staphylococcus aureus"
"959","key_sourcewound",0.108,0.067,0.106,1.114,"tetracycline","Staphylococcus aureus"
"960","year_scaled",0.193,0.011,0,1.213,"tetracycline","Staphylococcus aureus"
"961","age_group0 to 2 Years",-0.22,0.021,0,0.802,"tigecycline","Staphylococcus aureus"
"962","age_group3 to 12 Years",-0.236,0.022,0,0.79,"tigecycline","Staphylococcus aureus"
"963","age_group13 to 18 Years",-0.112,0.027,0,0.894,"tigecycline","Staphylococcus aureus"
"964","age_group65 to 84 Years",0.063,0.011,0,1.065,"tigecycline","Staphylococcus aureus"
"965","age_group85 and Over",0.041,0.019,0.035,1.042,"tigecycline","Staphylococcus aureus"
"966","genderm",0.032,0.009,0.001,1.033,"tigecycline","Staphylococcus aureus"
"967","key_sourceblood",-0.225,0.017,0,0.799,"tigecycline","Staphylococcus aureus"
"968","key_sourcegastro",-0.013,0.026,0.609,0.987,"tigecycline","Staphylococcus aureus"
"969","key_sourcerespiratory",0.192,0.016,0,1.212,"tigecycline","Staphylococcus aureus"
"970","key_sourceurine",0.097,0.031,0.002,1.102,"tigecycline","Staphylococcus aureus"
"971","key_sourcewound",0.088,0.015,0,1.092,"tigecycline","Staphylococcus aureus"
"972","year_scaled",-0.115,0.001,0,0.891,"tigecycline","Staphylococcus aureus"
"973","age_group0 to 2 Years",0.285,0.027,0,1.329,"trimethoprim sulfa","Staphylococcus aureus"
"974","age_group3 to 12 Years",0.273,0.028,0,1.314,"trimethoprim sulfa","Staphylococcus aureus"
"975","age_group13 to 18 Years",0.139,0.035,0,1.149,"trimethoprim sulfa","Staphylococcus aureus"
"976","age_group65 to 84 Years",-0.127,0.014,0,0.881,"trimethoprim sulfa","Staphylococcus aureus"
"977","age_group85 and Over",-0.243,0.025,0,0.784,"trimethoprim sulfa","Staphylococcus aureus"
"978","genderm",0,0.012,0.981,1,"trimethoprim sulfa","Staphylococcus aureus"
"979","key_sourceblood",-0.841,0.025,0,0.431,"trimethoprim sulfa","Staphylococcus aureus"
"980","key_sourcegastro",-1.148,0.049,0,0.317,"trimethoprim sulfa","Staphylococcus aureus"
"981","key_sourcerespiratory",-0.725,0.023,0,0.485,"trimethoprim sulfa","Staphylococcus aureus"
"982","key_sourceurine",-0.894,0.041,0,0.409,"trimethoprim sulfa","Staphylococcus aureus"
"983","key_sourcewound",-0.623,0.022,0,0.536,"trimethoprim sulfa","Staphylococcus aureus"
"984","year_scaled",-0.603,0.003,0,0.547,"trimethoprim sulfa","Staphylococcus aureus"
"985","age_group0 to 2 Years",-0.036,0.026,0.164,0.964,"vancomycin","Staphylococcus aureus"
"986","age_group3 to 12 Years",-0.075,0.026,0.005,0.928,"vancomycin","Staphylococcus aureus"
"987","age_group13 to 18 Years",0.01,0.033,0.765,1.01,"vancomycin","Staphylococcus aureus"
"988","age_group65 to 84 Years",-0.06,0.013,0,0.941,"vancomycin","Staphylococcus aureus"
"989","age_group85 and Over",-0.118,0.023,0,0.889,"vancomycin","Staphylococcus aureus"
"990","genderm",-0.009,0.011,0.423,0.991,"vancomycin","Staphylococcus aureus"
"991","key_sourceblood",0.144,0.021,0,1.155,"vancomycin","Staphylococcus aureus"
"992","key_sourcegastro",-0.101,0.029,0.001,0.904,"vancomycin","Staphylococcus aureus"
"993","key_sourcerespiratory",0.334,0.019,0,1.396,"vancomycin","Staphylococcus aureus"
"994","key_sourceurine",0.328,0.036,0,1.388,"vancomycin","Staphylococcus aureus"
"995","key_sourcewound",0.373,0.018,0,1.452,"vancomycin","Staphylococcus aureus"
"996","year_scaled",0.082,0.001,0,1.086,"vancomycin","Staphylococcus aureus"
"997","age_group0 to 2 Years",0.149,0.026,0,1.16,"amikacin","Klebsiella pneumoniae"
"998","age_group3 to 12 Years",0.01,0.042,0.816,1.01,"amikacin","Klebsiella pneumoniae"
"999","age_group13 to 18 Years",-0.072,0.05,0.152,0.931,"amikacin","Klebsiella pneumoniae"
"1000","age_group65 to 84 Years",-0.048,0.013,0,0.953,"amikacin","Klebsiella pneumoniae"
"1001","age_group85 and Over",-0.154,0.023,0,0.857,"amikacin","Klebsiella pneumoniae"
"1002","genderm",0.162,0.012,0,1.176,"amikacin","Klebsiella pneumoniae"
"1003","key_sourceblood",0.035,0.021,0.09,1.036,"amikacin","Klebsiella pneumoniae"
"1004","key_sourcegastro",0.006,0.035,0.862,1.006,"amikacin","Klebsiella pneumoniae"
"1005","key_sourcerespiratory",-0.035,0.02,0.077,0.965,"amikacin","Klebsiella pneumoniae"
"1006","key_sourceurine",-0.029,0.021,0.164,0.972,"amikacin","Klebsiella pneumoniae"
"1007","key_sourcewound",0.033,0.024,0.162,1.034,"amikacin","Klebsiella pneumoniae"
"1008","year_scaled",-0.014,0.001,0,0.986,"amikacin","Klebsiella pneumoniae"
"1009","age_group0 to 2 Years",0.091,0.026,0.001,1.095,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1010","age_group3 to 12 Years",0.098,0.043,0.021,1.103,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1011","age_group13 to 18 Years",-0.057,0.051,0.269,0.945,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1012","age_group65 to 84 Years",-0.001,0.013,0.954,0.999,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1013","age_group85 and Over",-0.113,0.023,0,0.893,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1014","genderm",0.212,0.012,0,1.236,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1015","key_sourceblood",-0.144,0.021,0,0.866,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1016","key_sourcegastro",-0.014,0.034,0.693,0.986,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1017","key_sourcerespiratory",-0.083,0.021,0,0.921,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1018","key_sourceurine",-0.061,0.021,0.004,0.941,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1019","key_sourcewound",0.042,0.024,0.087,1.043,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1020","year_scaled",-0.011,0.001,0,0.989,"amoxycillin clavulanate","Klebsiella pneumoniae"
"1021","age_group0 to 2 Years",0.005,0.038,0.895,1.005,"ampicillin","Klebsiella pneumoniae"
"1022","age_group3 to 12 Years",0.048,0.061,0.436,1.049,"ampicillin","Klebsiella pneumoniae"
"1023","age_group13 to 18 Years",-0.048,0.073,0.512,0.953,"ampicillin","Klebsiella pneumoniae"
"1024","age_group65 to 84 Years",-0.027,0.019,0.149,0.973,"ampicillin","Klebsiella pneumoniae"
"1025","age_group85 and Over",-0.089,0.033,0.007,0.915,"ampicillin","Klebsiella pneumoniae"
"1026","genderm",0.116,0.018,0,1.123,"ampicillin","Klebsiella pneumoniae"
"1027","key_sourceblood",-0.563,0.031,0,0.57,"ampicillin","Klebsiella pneumoniae"
"1028","key_sourcegastro",-0.063,0.049,0.193,0.939,"ampicillin","Klebsiella pneumoniae"
"1029","key_sourcerespiratory",-0.128,0.03,0,0.88,"ampicillin","Klebsiella pneumoniae"
"1030","key_sourceurine",-0.067,0.031,0.031,0.935,"ampicillin","Klebsiella pneumoniae"
"1031","key_sourcewound",-0.019,0.035,0.581,0.981,"ampicillin","Klebsiella pneumoniae"
"1032","year_scaled",-0.375,0.003,0,0.687,"ampicillin","Klebsiella pneumoniae"
"1033","age_group0 to 2 Years",0.177,0.049,0,1.193,"ampicillin sulbactam","Klebsiella pneumoniae"
"1034","age_group3 to 12 Years",-0.005,0.081,0.952,0.995,"ampicillin sulbactam","Klebsiella pneumoniae"
"1035","age_group13 to 18 Years",-0.072,0.099,0.468,0.931,"ampicillin sulbactam","Klebsiella pneumoniae"
"1036","age_group65 to 84 Years",-0.02,0.026,0.438,0.98,"ampicillin sulbactam","Klebsiella pneumoniae"
"1037","age_group85 and Over",-0.282,0.046,0,0.754,"ampicillin sulbactam","Klebsiella pneumoniae"
"1038","genderm",0.21,0.024,0,1.234,"ampicillin sulbactam","Klebsiella pneumoniae"
"1039","key_sourceblood",0.137,0.045,0.003,1.147,"ampicillin sulbactam","Klebsiella pneumoniae"
"1040","key_sourcegastro",0.177,0.07,0.012,1.193,"ampicillin sulbactam","Klebsiella pneumoniae"
"1041","key_sourcerespiratory",0.069,0.045,0.125,1.071,"ampicillin sulbactam","Klebsiella pneumoniae"
"1042","key_sourceurine",0.101,0.047,0.033,1.106,"ampicillin sulbactam","Klebsiella pneumoniae"
"1043","key_sourcewound",0.163,0.052,0.002,1.177,"ampicillin sulbactam","Klebsiella pneumoniae"
"1044","year_scaled",-0.389,0.011,0,0.677,"ampicillin sulbactam","Klebsiella pneumoniae"
"1045","age_group0 to 2 Years",0.113,0.036,0.002,1.12,"aztreonam","Klebsiella pneumoniae"
"1046","age_group3 to 12 Years",0.057,0.058,0.325,1.059,"aztreonam","Klebsiella pneumoniae"
"1047","age_group13 to 18 Years",-0.067,0.072,0.348,0.935,"aztreonam","Klebsiella pneumoniae"
"1048","age_group65 to 84 Years",-0.017,0.018,0.342,0.983,"aztreonam","Klebsiella pneumoniae"
"1049","age_group85 and Over",-0.169,0.032,0,0.844,"aztreonam","Klebsiella pneumoniae"
"1050","genderm",0.213,0.017,0,1.238,"aztreonam","Klebsiella pneumoniae"
"1051","key_sourceblood",0.18,0.032,0,1.197,"aztreonam","Klebsiella pneumoniae"
"1052","key_sourcegastro",0.089,0.045,0.049,1.094,"aztreonam","Klebsiella pneumoniae"
"1053","key_sourcerespiratory",0.092,0.029,0.002,1.097,"aztreonam","Klebsiella pneumoniae"
"1054","key_sourceurine",0.109,0.03,0,1.115,"aztreonam","Klebsiella pneumoniae"
"1055","key_sourcewound",0.233,0.033,0,1.262,"aztreonam","Klebsiella pneumoniae"
"1056","year_scaled",0.002,0.003,0.441,1.002,"aztreonam","Klebsiella pneumoniae"
"1057","age_group0 to 2 Years",-0.287,0.037,0,0.751,"aztreonam avibactam","Klebsiella pneumoniae"
"1058","age_group3 to 12 Years",-0.212,0.06,0,0.809,"aztreonam avibactam","Klebsiella pneumoniae"
"1059","age_group13 to 18 Years",-0.296,0.075,0,0.744,"aztreonam avibactam","Klebsiella pneumoniae"
"1060","age_group65 to 84 Years",-0.011,0.018,0.536,0.989,"aztreonam avibactam","Klebsiella pneumoniae"
"1061","age_group85 and Over",-0.18,0.033,0,0.835,"aztreonam avibactam","Klebsiella pneumoniae"
"1062","genderm",0.153,0.017,0,1.165,"aztreonam avibactam","Klebsiella pneumoniae"
"1063","key_sourceblood",0.08,0.033,0.017,1.083,"aztreonam avibactam","Klebsiella pneumoniae"
"1064","key_sourcegastro",0.131,0.047,0.005,1.14,"aztreonam avibactam","Klebsiella pneumoniae"
"1065","key_sourcerespiratory",0.121,0.03,0,1.129,"aztreonam avibactam","Klebsiella pneumoniae"
"1066","key_sourceurine",0.035,0.031,0.254,1.036,"aztreonam avibactam","Klebsiella pneumoniae"
"1067","key_sourcewound",0.086,0.034,0.012,1.09,"aztreonam avibactam","Klebsiella pneumoniae"
"1068","year_scaled",0.026,0.003,0,1.026,"aztreonam avibactam","Klebsiella pneumoniae"
"1069","age_group0 to 2 Years",0.101,0.025,0,1.106,"cefepime","Klebsiella pneumoniae"
"1070","age_group3 to 12 Years",0.03,0.04,0.457,1.03,"cefepime","Klebsiella pneumoniae"
"1071","age_group13 to 18 Years",-0.084,0.047,0.075,0.919,"cefepime","Klebsiella pneumoniae"
"1072","age_group65 to 84 Years",-0.024,0.013,0.054,0.976,"cefepime","Klebsiella pneumoniae"
"1073","age_group85 and Over",-0.15,0.022,0,0.861,"cefepime","Klebsiella pneumoniae"
"1074","genderm",0.223,0.012,0,1.25,"cefepime","Klebsiella pneumoniae"
"1075","key_sourceblood",0.207,0.02,0,1.23,"cefepime","Klebsiella pneumoniae"
"1076","key_sourcegastro",0.028,0.032,0.391,1.028,"cefepime","Klebsiella pneumoniae"
"1077","key_sourcerespiratory",0.019,0.019,0.313,1.02,"cefepime","Klebsiella pneumoniae"
"1078","key_sourceurine",0.06,0.02,0.003,1.062,"cefepime","Klebsiella pneumoniae"
"1079","key_sourcewound",0.096,0.023,0,1.101,"cefepime","Klebsiella pneumoniae"
"1080","year_scaled",-0.053,0.001,0,0.948,"cefepime","Klebsiella pneumoniae"
"1081","age_group0 to 2 Years",0.131,0.048,0.006,1.14,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1082","age_group3 to 12 Years",-0.006,0.078,0.937,0.994,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1083","age_group13 to 18 Years",-0.099,0.096,0.302,0.906,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1084","age_group65 to 84 Years",-0.048,0.025,0.056,0.953,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1085","age_group85 and Over",-0.272,0.045,0,0.762,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1086","genderm",0.208,0.023,0,1.231,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1087","key_sourceblood",0.114,0.045,0.011,1.12,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1088","key_sourcegastro",0.161,0.069,0.02,1.175,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1089","key_sourcerespiratory",0.049,0.044,0.263,1.05,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1090","key_sourceurine",0.046,0.046,0.322,1.047,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1091","key_sourcewound",0.175,0.051,0.001,1.191,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1092","year_scaled",0.062,0.01,0,1.064,"cefoperazone sulbactam","Klebsiella pneumoniae"
"1093","age_group0 to 2 Years",0.212,0.036,0,1.236,"ceftaroline","Klebsiella pneumoniae"
"1094","age_group3 to 12 Years",0.07,0.058,0.228,1.073,"ceftaroline","Klebsiella pneumoniae"
"1095","age_group13 to 18 Years",0.054,0.072,0.453,1.055,"ceftaroline","Klebsiella pneumoniae"
"1096","age_group65 to 84 Years",-0.017,0.018,0.351,0.983,"ceftaroline","Klebsiella pneumoniae"
"1097","age_group85 and Over",-0.164,0.032,0,0.849,"ceftaroline","Klebsiella pneumoniae"
"1098","genderm",0.212,0.017,0,1.236,"ceftaroline","Klebsiella pneumoniae"
"1099","key_sourceblood",0.205,0.032,0,1.228,"ceftaroline","Klebsiella pneumoniae"
"1100","key_sourcegastro",0.122,0.046,0.008,1.13,"ceftaroline","Klebsiella pneumoniae"
"1101","key_sourcerespiratory",0.141,0.03,0,1.151,"ceftaroline","Klebsiella pneumoniae"
"1102","key_sourceurine",0.161,0.031,0,1.175,"ceftaroline","Klebsiella pneumoniae"
"1103","key_sourcewound",0.326,0.034,0,1.385,"ceftaroline","Klebsiella pneumoniae"
"1104","year_scaled",-0.056,0.003,0,0.945,"ceftaroline","Klebsiella pneumoniae"
"1105","age_group0 to 2 Years",0.147,0.029,0,1.158,"ceftazidime","Klebsiella pneumoniae"
"1106","age_group3 to 12 Years",0.045,0.047,0.342,1.046,"ceftazidime","Klebsiella pneumoniae"
"1107","age_group13 to 18 Years",-0.016,0.056,0.777,0.984,"ceftazidime","Klebsiella pneumoniae"
"1108","age_group65 to 84 Years",-0.027,0.014,0.062,0.973,"ceftazidime","Klebsiella pneumoniae"
"1109","age_group85 and Over",-0.146,0.025,0,0.864,"ceftazidime","Klebsiella pneumoniae"
"1110","genderm",0.199,0.013,0,1.22,"ceftazidime","Klebsiella pneumoniae"
"1111","key_sourceblood",0.17,0.024,0,1.185,"ceftazidime","Klebsiella pneumoniae"
"1112","key_sourcegastro",-0.05,0.036,0.159,0.951,"ceftazidime","Klebsiella pneumoniae"
"1113","key_sourcerespiratory",0.006,0.022,0.786,1.006,"ceftazidime","Klebsiella pneumoniae"
"1114","key_sourceurine",-0.007,0.023,0.749,0.993,"ceftazidime","Klebsiella pneumoniae"
"1115","key_sourcewound",0.131,0.027,0,1.14,"ceftazidime","Klebsiella pneumoniae"
"1116","year_scaled",-0.024,0.002,0,0.977,"ceftazidime","Klebsiella pneumoniae"
"1117","age_group0 to 2 Years",-0.105,0.037,0.004,0.901,"ceftazidime avibactam","Klebsiella pneumoniae"
"1118","age_group3 to 12 Years",-0.089,0.06,0.136,0.915,"ceftazidime avibactam","Klebsiella pneumoniae"
"1119","age_group13 to 18 Years",-0.146,0.073,0.045,0.864,"ceftazidime avibactam","Klebsiella pneumoniae"
"1120","age_group65 to 84 Years",-0.043,0.018,0.018,0.958,"ceftazidime avibactam","Klebsiella pneumoniae"
"1121","age_group85 and Over",-0.223,0.033,0,0.8,"ceftazidime avibactam","Klebsiella pneumoniae"
"1122","genderm",0.185,0.017,0,1.204,"ceftazidime avibactam","Klebsiella pneumoniae"
"1123","key_sourceblood",0.11,0.033,0.001,1.116,"ceftazidime avibactam","Klebsiella pneumoniae"
"1124","key_sourcegastro",0.117,0.047,0.012,1.124,"ceftazidime avibactam","Klebsiella pneumoniae"
"1125","key_sourcerespiratory",0.128,0.03,0,1.136,"ceftazidime avibactam","Klebsiella pneumoniae"
"1126","key_sourceurine",0.011,0.031,0.714,1.011,"ceftazidime avibactam","Klebsiella pneumoniae"
"1127","key_sourcewound",0.131,0.034,0,1.14,"ceftazidime avibactam","Klebsiella pneumoniae"
"1128","year_scaled",0.089,0.003,0,1.093,"ceftazidime avibactam","Klebsiella pneumoniae"
"1129","age_group0 to 2 Years",-0.018,0.057,0.755,0.982,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1130","age_group3 to 12 Years",-0.066,0.091,0.466,0.936,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1131","age_group13 to 18 Years",-0.26,0.115,0.023,0.771,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1132","age_group65 to 84 Years",-0.069,0.03,0.021,0.933,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1133","age_group85 and Over",-0.306,0.053,0,0.736,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1134","genderm",0.168,0.028,0,1.183,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1135","key_sourceblood",0.144,0.054,0.007,1.155,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1136","key_sourcegastro",0.286,0.084,0.001,1.331,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1137","key_sourcerespiratory",0.105,0.052,0.044,1.111,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1138","key_sourceurine",0.021,0.055,0.698,1.021,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1139","key_sourcewound",0.149,0.06,0.013,1.161,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1140","year_scaled",0.233,0.01,0,1.262,"ceftolozane tazobactam","Klebsiella pneumoniae"
"1141","age_group0 to 2 Years",0.014,0.037,0.706,1.014,"ceftriaxone","Klebsiella pneumoniae"
"1142","age_group3 to 12 Years",0.157,0.058,0.007,1.17,"ceftriaxone","Klebsiella pneumoniae"
"1143","age_group13 to 18 Years",-0.126,0.069,0.07,0.882,"ceftriaxone","Klebsiella pneumoniae"
"1144","age_group65 to 84 Years",-0.019,0.019,0.313,0.981,"ceftriaxone","Klebsiella pneumoniae"
